Dışa Aktarım Tarihi:,21.08.2026 08:39:22
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,2,"0,00","0,00","0,00","0,00","0,00","",""
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"11,8223","4,4341","-4,0718","14,4417","55,3752","",""
KNJ,KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU,Katılım Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","",""
KPI,İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3009","10,1892","20,4653","26,6934","45,5762","",""
KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,2,"3,4108","10,3623","20,9521","27,4755","46,685","",""
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,Katılım Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","0,00",""
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","",""
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,Katılım Şemsiye Fonu,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KU3,KUVEYT TÜRK PORTFÖY ÜÇÜNCÜ KATILIM FONU,Katılım Şemsiye Fonu,5,"0,00","0,00","","","","",""
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","",""
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım Şemsiye Fonu,3,"0,00","0,00","0,00","0,00","0,00","",""
