Dışa Aktarım Tarihi:,21.08.2026 08:39:30
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
KIK,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU,Katılım Fonu,"177956640,30","0,00",-100,"125785075,00","0,00",-100,"-100,00"
KIS,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Fonu,"90327386,97","91163499,00","0,93","416973871,00","413375085,00","-0,86","1,80"
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"87854140367,98","0,00",-100,"18746060637,00","0,00",-100,"-100,00"
KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Fonu,"198733324,54","0,00",-100,"126133414,00","0,00",-100,"-100,00"
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"1377753411,12","1479829903,87","7,41","434468496,00","417320821,00","-3,95","11,82"
KNJ,KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU,Katılım Fonu,"667540545,84","0,00",-100,"349480370,00","0,00",-100,"-100,00"
KPI,İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"3840051693,38","5212290812,18","35,73","2695101294,00","3541299485,00","31,4","3,30"
KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,Katılım Fonu,"8269018505,36","11165639203,89","35,03","2921941974,00","3815358698,38","30,58","3,41"
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,Katılım Fonu,"251959922,45","0,00",-100,"51016441,00","0,00",-100,"-100,00"
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"1593708514,23","0,00",-100,"637331463,00","0,00",-100,"-100,00"
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,Katılım Fonu,"669921998,53","0,00",-100,"30605983,00","0,00",-100,"-100,00"
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Fonu,"495126736,39","0,00",-100,"63121859,00","0,00",-100,"-100,00"
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"24440785709,46","0,00",-100,"3278419157,00","0,00",-100,"-100,00"
KU3,KUVEYT TÜRK PORTFÖY ÜÇÜNCÜ KATILIM FONU,Katılım Fonu,"256733943,97","0,00",-100,"225975950,00","0,00",-100,"-100,00"
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,Katılım Fonu,"115130869,28","0,00",-100,"79951571,00","0,00",-100,"-100,00"
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım Fonu,"209675863,36","0,00",-100,"125581422,00","0,00",-100,"-100,00"
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Fonu,"7420855722,48","0,00",-100,"689071106,00","0,00",-100,"-100,00"
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"83369461832,61","0,00",-100,"3276769594,00","0,00",-100,"-100,00"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,Katılım Fonu,"405563112,56","0,00",-100,"187751074,00","0,00",-100,"-100,00"
LKF,İŞ PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"71533592,07","94336007,93","31,88","75593875,00","88923145,00","17,63","12,11"
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"69056605,81","90368067,24","30,86","49450468,00","65234815,00","31,92","-0,80"
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"1359797153,61","1361470963,30","0,12","168647855,04","163569956,04","-3,01","3,23"
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Fonu,"269615131,07","277351258,15","2,87","28125132,96","28038168,96","-0,31","3,19"
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"1050781584,58","1170681908,02","11,41","90780392,00","90962977,00","0,2","11,19"
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Fonu,"301904544,71","322976535,78","6,98","41476355,00","42970838,00","3,6","3,26"
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"1305672632,40","1370191870,80","4,94","731290738,00","742670077,00","1,56","3,33"
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"719888267,02","798309187,40","10,89","68159779,00","67024280,00","-1,67","12,77"
PA2,PUSULA PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"25639323,92","43741895,35","70,6","25468200,00","39084213,00","53,46","11,17"
PDD,ASTRA PORTFÖY KATILIM FONU,Katılım Fonu,"848964707,97","860437132,19","1,35","146330891,00","144318749,00","-1,38","2,76"
PK1,AHLATCI PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"8891712,42","11631010,41","30,81","8766037,00","11109906,00","26,74","3,21"
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"394149949,89","405842861,05","2,97","91913345,00","84080399,00","-8,52","12,56"
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"258715797,02","476717297,00","84,26","250087057,00","445864734,00","78,28","3,35"
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"737959852,83","669647053,68","-9,26","487771237,00","435390296,00","-10,74","1,66"
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Fonu,"35409996,25","34123668,65","-3,63","20908075,00","20157562,00","-3,59","-0,04"
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"2493641967,47","2441707735,28","-2,08","1769257926,00","1678493994,00","-5,13","3,21"
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"5359411176,69","5970976609,95","11,41","2460427789,00","2653569373,00","7,85","3,30"
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"781164176,45","859298394,82",10,"604639224,00","643867421,00","6,49","3,30"
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Fonu,"1755490070,92","1934436394,71","10,19","90255244,00","88189195,00","-2,29","12,78"
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Fonu,"53733629,61","48865900,49","-9,06","6268174,00","5558398,00","-11,32","2,55"
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Kira Sertifikası Fonu,"992919128,14","1344387013,70","35,4","156276315,00","204464672,00","30,84","3,49"
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"6395686547,16","7902081714,28","23,55","955633990,00","1144100521,00","19,72","3,20"
RCV,AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"59146659,45","65186592,25","10,21","35081245,00","36151492,00","3,05","6,95"
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"93193697,69","90050260,41","-3,37","29726522,00","25487271,00","-14,26","12,70"
RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"90203179,21","90804801,66","0,67","43872721,00","44541885,00","1,53","-0,85"
RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Fonu,"734921706,25","820981129,82","11,71","460948729,00","498945660,00","8,24","3,20"
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"12820910708,97","14176457668,37","10,57","18105538541,44","17749260041,44","-1,97","12,79"
TLK,AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"3225559634,18","3601374858,07","11,65","1884914806,00","2037074137,00","8,07","3,31"
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"3633002894,54","3952452775,63","8,79","2753800355,00","2895332021,00","5,14","3,47"
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Fonu,"121230724,70","0,00",-100,"4352317,00","0,00",-100,"-100,00"
TVE,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,Katılım Fonu,"224552753,81","217346906,44","-3,21","195739096,00","190220191,00","-2,82","-0,40"
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Kisa Vadeli Kira Sertifikalari Katilim Fonu,"2945337743,55","3069219051,02","4,21","556260630,00","561659450,00","0,97","3,20"
VFO,V PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"47250062,76","0,00",-100,"51434117,00","0,00",-100,"-100,00"
VKK,VAKIF KATILIM PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"46438757,69","65446765,51","40,93","44254519,00","60399848,00","36,48","3,26"
VKV,VAKIF KATILIM PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"200429809,93","415975434,49","107,54","190989694,00","383810778,00","100,96","3,28"
VLT,VAKIF KATILIM PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"52364516,61","63273292,09","20,83","56625935,00","60848949,00","7,46","12,45"
VPA,VAKIF KATILIM PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"10157703725,46","8975362533,63","-11,64","9450425837,00","8084230418,00","-14,46","3,29"
VRK,DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"49572716,14","47175229,10","-4,84","39014197,00","35436557,00","-9,17","4,77"
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"866500314,85","888984006,70","2,59","8442106082,00","8454274009,00","0,14","2,45"
ZBI,ZİRAAT PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Fonu,"205151899,99","183773845,03","-10,42","92782479,00","80275445,00","-13,48","3,54"
ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,Katılım Fonu,"394325219,68","388986876,55","-1,35","221672427,00","208378247,00",-6,"4,94"
ZPF,ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),Katılım Fonu,"714222583,66","751717693,84","5,25","31420932,00","32392919,00","3,09","2,09"
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Fonu,"1507911818,09","1627419732,09","7,93","145625490,43","152568649,43","4,77","3,01"
ZPO,ZİRAAT PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"7129879,52","1227436862,16","17115,39","7096922,00","1180234896,00","16530,24","3,52"
