Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
DDF,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"11,2584","18,6451","31,7115","55,3243","42,8581","351,8119","736,749"
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,Serbest Şemsiye Fonu,5,"0,00","0,00","0,00","0,00","0,00","",""
DEH,DESTEK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"","","","","","",""
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"0,1821","1,3262","5,4391","28,076","24,8635","86,5839",""
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,6,"6,5406","2,2461","15,9643","22,9935","43,1775","112,8389",""
DFI,ATLAS PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,7,"8,7805","41,6228","78,1809","106,9996","1258,2006","2105,0503",""
DGF,A1 CAPİTAL PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"13,593","10,2916","14,9455","27,2825","","",""
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,1,"3,4359","10,7331","21,7944","28,5352","49,2404","256,8065","455,5005"
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,7,"4,3987","-2,6349","12,9622","30,6766","31,0844","117,1314",""
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"2,9126","3,42","6,6738","21,6422","26,3346","148,8965",""
DHT,DENİZ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"9,1234","14,6183","8,9535","19,3808","","",""
DHV,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"17,3469","17,7413","59,4834","141,3787","","",""
DID,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"4,0023","7,4699","12,033","19,8867","33,2213","",""
DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,4371","10,6841","21,6324","28,2215","48,4445","",""
DKC,DENİZ PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,6,"3,1856","-2,7884","-21,7656","","","",""
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,5,"1,962","3,0262","15,0089","33,2456","33,1362","143,7643",""
DKL,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,3,"2,0132","6,226","10,5818","13,5072","21,2785","",""
DKR,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,7,"-11,3971","29,1225","35,637","56,0078","29,7096","",""
DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,4378","10,3376","20,6141","27,1658","47,3036","",""
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,9054","7,3836","6,9616","25,9179","26,1115","124,1329",""
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,345","10,1976","20,5109","26,9476","46,6008","252,8338","418,4502"
DLZ,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"-0,2077","-49,8274","-74,8278","-84,7107","-87,4127","",""
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,7,"18,6871","-6,9118","-8,3114","1,7423","101,0484","365,9804",""
DNF,A1 CAPİTAL PORTFÖY DİNAMİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,4,"7,4879","9,0388","13,3548","25,3754","","",""
DNH,DENİZ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-1,1487","-0,2017","0,6861","15,9572","","",""
DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,Serbest Şemsiye Fonu,6,"2,7852","-0,6217","25,5958","26,6261","43,8389","",""
DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","4,4425","8,5234","10,5486","12,9233","25,8967","",""
DNP,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,3263","10,2459","20,7252","27,1552","","",""
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"7,9379","3,7542","18,4698","35,8011","67,9511","",""
DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,9958","6,2143","11,5189","14,336","21,7834","",""
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,6,"4,1976","6,8088","10,3674","13,2523","20,7362","106,6906",""
DPB,DENİZ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,6,"2,3173","7,2745","8,5323","13,3179","24,1008","170,2416","790,6269"
DPI,DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,"3,1713","9,1773","18,5038","23,9794","40,6805","247,3417","589,066"
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,1033","9,3891","17,8967","24,1895","42,3682","208,7525","372,1324"
DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Şemsiye Fonu,6,"2,3926","6,0514","6,77","31,2432","33,2844","116,5734","851,8498"
DRA,NEO PORTFÖY DORA SERBEST FON,Serbest Şemsiye Fonu,7,"3,4721","13,1017","-4,4537","9,8479","23,2254","",""
DRT,DENİZ PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"5,3167","6,2319","23,9794","","","",""
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,Serbest Şemsiye Fonu,6,"4,2334","8,5261","9,5392","13,6351","24,325","127,9979","571,0455"
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3,"3,7455","8,2931","12,8805","21,0811","40,3666","181,9025","661,2304"
DTH,EMAA BLUE PORTFÖY DÖNÜŞÜM TEKNOLOJİLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"0,5502","1,9487","19,4787","37,9612","","",""
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"0,0052","2,3446","9,9425","26,2796","31,0323","129,594",""
DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"2,968","6,847","8,0648","29,6856","31,0688","",""
DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"6,5791","8,7942","38,235","33,2013","43,7128","188,2838",""
DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,6,"2,7812","10,3437","9,9736","13,8147","28,582","",""
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"32,0304","40,0793","25,4821","18,2281","22,2128","",""
DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,5,"4,1225","10,8634","4,8532","5,6177","23,0502","",""
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,4476","10,3537","20,3798","26,8283","47,1822","",""
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"4,4179","8,0817","39,2503","47,9351","67,2513","327,8322",""
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"3,0934","5,7893","8,7328","27,9403","28,8525","",""
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"-0,368","-2,5352","15,83","23,9959","40,6735","136,8491",""
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,7884","2,093","2,7784","24,6885","26,0162","96,5794","959,6376"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,6,"2,4856","7,4046","8,7723","13,2168","22,1617","163,8766","782,8875"
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"","0,0339","4,3339","24,1564","37,5164","52,2094","204,6156","734,1259"
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,1646","7,9207","9,0877","12,6513","","",""
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,Serbest Şemsiye Fonu,"","2,0597","6,7208","10,9182","13,9862","","",""
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","-2,2207","-3,7224","-6,9459","1,9156","-1,3346","96,3979","1159,3398"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"5,7803","18,3952","31,7006","48,8588","66,1634","218,8788","1089,9688"
EDN,EMAA BLUE PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"3,3949","","","","","",""
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,2,"3,5559","10,8352","","","","",""
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,2,"3,2913","10,2895","20,6439","26,8893","46,1088","",""
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,"3,189","9,2698","13,3112","19,375","42,2349","202,904",""
EGR,EMAA BLUE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"4,8425","","","","","",""
EIB,ASTRA PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,"2,1683","12,1695","24,3303","30,0529","47,3637","245,2019","708,5766"
EID,ASTRA PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,6614","7,6868","3,529","23,3709","24,5668","153,0254","1377,2344"
EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2,"3,4387","10,4825","21,2782","28,1487","49,2406","262,4835","427,2232"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,3,"3,4164","6,332","17,111","23,7488","43,3022","220,7485","537,7982"
ELZ,ASTRA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","-0,1426","-0,9811","7,9175","25,3028","27,4359","131,7182","1053,0029"
EML,AK PORTFÖY EMLAK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,"0,7028","5,9604","13,9542","28,1466","","",""
ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-4,4358","0,025","12,4403","21,8195","25,102","",""
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,2603","","","","","",""
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3663","10,3006","20,6834","26,8769","","",""
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,5,"-1,6144","-1,6743","0,3811","12,1178","","",""
EPK,EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"14,8284","-1,4555","-9,4758","6,7995","","",""
EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,2,"3,4148","10,6675","21,4436","28,1195","","",""
EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,4167","10,4129","21,0153","27,4612","","",""
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,Serbest Şemsiye Fonu,6,"2,0733","-0,0484","-1,761","9,5222","13,9352","97,5963","242,0046"
ESP,AURA PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,7,"-1,4412","-31,645","-29,0503","-56,2129","-67,3801","",""
ETN,EMAA BLUE PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,"","","","","","",""
EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,2274","8,0918","9,9117","13,2718","23,2317","",""
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,1643","6,7166","10,1725","12,9254","20,4342","109,7734","528,7491"
EVM,DENİZ PORTFÖY ENERJİ VE MADENCİLİK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"9,538","6,3479","12,0105","","","",""
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,3,"5,8827","6,7114","13,0838","26,3677","52,3688","",""
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,7627","-0,5998","-12,9605","-12,2974","","",""
FAL,ONE PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"12,2431","4,1233","-7,5934","12,5721","","",""
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Şemsiye Fonu,6,"-2,7165","-9,8367","1,3318","6,5036","21,3174","83,4628",""
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,9755","6,0997","11,4135","14,1139","21,1021","",""
FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Şemsiye Fonu,6,"6,1447","5,7854","11,4044","26,9943","43,2827","229,4242","633,5817"
FBZ,FİBA PORTFÖY TEKNOLOJİ SERBEST FON,Serbest Şemsiye Fonu,6,"6,5655","6,8536","28,5206","28,0105","51,9279","178,1111","322,0206"
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,5,"-3,328","-5,2604","7,5626","20,3512","26,3257","",""
FD1,ONE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"4,3624","11,0573","13,0894","26,1693","29,3471","",""
FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"-1,7846","-5,7559","3,0045","13,8344","31,8378","",""
FDV,AZİMUT PORTFÖY DMR SERBEST FON,Serbest Şemsiye Fonu,4,"3,6806","12,7251","25,5153","42,0741","61,6826","301,5928",""
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,4,"4,5662","8,0764","17,3512","28,5567","51,1016","200,2234","703,3412"
FFP,QNB PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,4,"4,6324","5,4347","6,5943","15,6316","39,1862","191,7107","576,3488"
FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,4,"4,1688","9,0764","10,6135","14,3369","32,2759","136,922","318,8499"
FIB,FİBA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"13,2585","4,0626","-7,0492","9,8333","51,6615","288,3681","1188,1568"
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"2,7058","6,1694","5,8138","15,9709","19,2713","101,7321","706,2836"
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,3865","10,3176","20,6762","27,2018","47,0125","256,514","438,2293"
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,4,"4,2846","10,5983","3,638","4,8343","21,7572","93,8411","183,386"
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,6,"4,7693","4,9681","29,6404","24,7335","43,1002","274,2922","653,2932"
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","2,0722","6,9816","10,4008","14,7678","24,2403","135,6109","675,0997"
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,1431","6,6461","10,0775","12,7741","20,149","102,616",""
FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,7325","8,4542","11,9904","14,9018","27,4157","",""
FLY,AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"9,0796","6,6358","0,8673","16,2113","18,415","",""
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,6,"19,5045","-8,0367","-11,7184","0,818","97,9686","",""
FMV,DENİZ PORTFÖY FMV IŞIK ÜNİVERSİTESİ EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,2,"3,1632","10,1261","20,3739","26,5036","","",""
FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"4,797","8,7998","8,8617","17,0897","38,1989","191,507","629,7551"
FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"7,0213","16,3186","15,9096","42,2796","36,986","",""
FP4,ONE PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-27,9362","-37,6032","-35,0323","-26,5786","","",""
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,5,"2,2839","7,3587","9,788","12,8972","22,9672","131,4597","655,4008"
FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,6,"19,9858","-7,2286","-10,0234","0,2487","92,5847","",""
FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"2,1908","5,5854","4,4917","20,6135","20,664","118,0989","1064,8707"
FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"3,2148","9,82","20,3073","26,5199","45,3964","",""
FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,4252","9,7082","18,1072","24,4347","43,4612","224,1963","366,7823"
FPR,STRATEJİ PORTFÖY FOREST HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"1,8922","2,1843","0,4473","24,0055","27,6629","172,6262","934,2376"
FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,9254","6,079","11,4261","14,1824","21,4159","101,4278","578,8768"
FRA,AZİMUT PORTFÖY MAB SERBEST FON,Serbest Şemsiye Fonu,6,"-0,9632","-0,8868","-0,7165","12,1894","16,7357","84,0721","748,2622"
FRC,FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-12,2897","-21,9847","-10,7022","3,5671","1,9744","",""
FS5,ONE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-4,5117","-14,3101","-14,6578","-11,2962","-0,3412","",""
FS6,ONE PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,4,"4,4795","13,3638","22,3516","34,7714","65,2286","",""
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,2,"3,3559","10,4072","20,9091","27,3492","46,9702","261,3992","456,3629"
FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"1,3699","4,196","2,9351","20,0996","20,6699","119,2468",""
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,6,"3,8481","6,3304","33,3378","33,9635","56,7995","259,6531",""
FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2,"3,4258","10,2185","20,2427","26,819","46,8381","252,9693","420,8146"
FSP,FONMAP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,6,"-18,9415","-43,2061","-46,8827","-47,2191","","",""
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"","4,1489","6,6916","10,1224","12,8323","19,9985","",""
FSU,TERA PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","","",""
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,3031","10,2245","20,5916","26,8661","45,901","",""
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"4,3998","3,8227","6,8895","26,6551","25,0831","69,629",""
FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,5,"2,476","7,0714","8,3884","12,2316","24,2547","134,0601","627,871"
FYD,QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"4,2554","1,5226","-2,733","14,9901","19,0662","107,6548","1306,1282"
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,Serbest Şemsiye Fonu,7,"3,7437","9,1049","20,5777","55,4961","34,1887","176,1309","444,8662"
FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,3182","10,1552","20,596","27,1054","46,6838","234,7789","397,2881"
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,4,"3,3732","7,2897","11,9413","20,3289","35,5981","190,0682",""
FZP,FİBA PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,2,"2,6435","8,2802","16,5017","23,5233","40,5014","239,1717","465,7761"
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,3,"4,0275","11,2642","12,0835","17,3127","34,5914","178,4557","348,3558"
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,8794","2,7982","6,9093","33,8302","33,006","116,2915","970,3458"
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"-0,9311","-3,2698","-5,465","16,9054","28,477","157,6312","1355,4022"
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,Serbest Şemsiye Fonu,5,"2,153","6,4059","11,8684","14,7895","22,4793","102,1686","563,6935"
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,"","1,9835","6,2956","10,5679","13,5095","22,2438","108,8947","590,8728"
GBC,AZİMUT PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"3,1638","6,7936","20,3666","24,50","45,9278","174,9414","634,9266"
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"4,6772","9,5378","27,5948","44,0703","62,1813","191,7944","762,3192"
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"2,1178","2,8575","2,9418","27,381","28,2401","152,2177",""
GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,7,"1,3415","-2,353","-16,6165","0,3165","5,3304","",""
