Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,5,"2,1725","7,3222","9,2222","11,9797","22,557","122,8487","597,0334"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"3,901","6,2712","9,8884","37,7029","38,1069","119,4943","1004,3883"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"4,3723","3,9827","6,6057","32,0447","41,0383","184,9896","1021,9464"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"","1,5486","13,0856","27,185","38,1661","38,109","223,1496","1091,9404"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"","2,0836","6,4373","9,4796","13,2405","22,2986","114,957","615,5317"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-2,7333","3,0214","6,2676","19,8414","4,3823","72,3393",""
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,7,"1,4472","-3,6902","7,5745","19,0186","46,9797","73,3134","255,0429"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,6,"-6,3818","-14,0958","-33,6023","-20,5073","","",""
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,3,"3,1582","11,8721","22,9504","28,9126","48,9583","",""
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,6,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,3,"4,2364","10,8009","9,3322","13,7573","32,287","115,9639","196,7257"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"8,8289","13,1312","23,86","30,6682","49,3446","121,6344","397,8675"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
