Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,1,1,0,""
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,"4,5",0,"48,96","3,65"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,7","1,7",0,"2,19"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,0,"32,29","2,56"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,5",0,"49,34","3,65"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,95","1,95",0,"2,56"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,95","1,95",0,"2,56"
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,25",0,"5,97","3,65"
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75","2,75","25,15","3,65"
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"0,4",0,"33,14","3,65"
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,4",0,0,0
