Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
DPI,DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,25",0,"40,68",0
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5",0,"42,37","3,65"
DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Şemsiye Fonu,"1,9",0,"33,28","2,19"
DRA,NEO PORTFÖY DORA SERBEST FON,Serbest Şemsiye Fonu,3,3,"23,23",""
DRT,DENİZ PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,0,"3,65"
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,Serbest Şemsiye Fonu,1,1,"24,33",0
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,9",0,"40,37","4,38"
DTH,EMAA BLUE PORTFÖY DÖNÜŞÜM TEKNOLOJİLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,4","2,4",0,"3,65"
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,75","2,75","31,03","3,65"
DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"31,07","3,65"
DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,9","2,9","43,71","2,56"
DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"28,58",0
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"22,21",""
DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,2,"23,05","3,65"
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,"47,18",0
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"67,25","3,65"
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9",0,"28,85","3,65"
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","40,67","3,65"
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"1,9",0,"26,02","2,19"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,5",2,"22,16",0
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,94","1,94","52,21","3,65"
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,0,"0,65",0,""
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,Serbest Şemsiye Fonu,"0,95","0,95",0,""
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,74","2,74","-1,33","3,65"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,94","1,94","66,16","3,65"
EDN,EMAA BLUE PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,4","2,4",0,"3,65"
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,2,2,0,""
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,2,0,"46,11",0
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,0,"42,23","3,65"
EGR,EMAA BLUE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,4","2,4",0,"3,65"
EIB,ASTRA PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,09","2,09","47,36","3,65"
EID,ASTRA PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,"24,57","3,65"
EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,8","0,8","49,24","3,65"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,25","1,25","43,30","3,65"
ELZ,ASTRA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,"27,44","3,65"
EML,AK PORTFÖY EMLAK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,75",0,0,"2,56"
ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,85","2,85","25,10","3,65"
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,25","1,25",0,"1,65"
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"0,9","0,9",0,"1,65"
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
EPK,EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,95","1,95",0,"4,38"
EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,"0,6","0,6",0,""
EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"0,7","0,7",0,"1,65"
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,Serbest Şemsiye Fonu,"2,1","2,1","13,94","3,65"
ESP,AURA PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,2,0,"-67,38",0
ETN,EMAA BLUE PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,4","2,4",0,""
EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,8","0,8","23,23",0
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,6","0,6","20,43","3,65"
EVM,DENİZ PORTFÖY ENERJİ VE MADENCİLİK SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,0,"3,65"
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1,1,"52,37",0
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,2","1,2",0,"2,19"
FAL,ONE PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,2,2,0,"2,19"
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Şemsiye Fonu,3,3,"21,32","3,65"
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,06","1,06","21,10",0
FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Şemsiye Fonu,"2,25",0,"43,28",""
FBZ,FİBA PORTFÖY TEKNOLOJİ SERBEST FON,Serbest Şemsiye Fonu,"2,55","2,55","51,93",0
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","26,33","3,65"
FD1,ONE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5","29,35","3,65"
FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,5","1,5","31,84","3,65"
FDV,AZİMUT PORTFÖY DMR SERBEST FON,Serbest Şemsiye Fonu,"1,05",0,"61,68",""
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,95","1,95","51,10","3,65"
FFP,QNB PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1,1,"39,19","3,65"
FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,79","1,79","32,28","3,65"
FIB,FİBA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,5","1,5","51,66","2,19"
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,92","2,92","19,27","3,65"
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,2","1,2","47,01","1,65"
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"1,95","1,95","21,76","3,65"
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,"2,92","2,92","43,10",0
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,75","0,75","24,24",0
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,65","0,65","20,15",0
FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,1,0,"27,42",""
FLY,AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"18,42","3,65"
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,2,2,"97,97",0
FMV,DENİZ PORTFÖY FMV IŞIK ÜNİVERSİTESİ EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,2,2,0,0
FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,01","2,01","38,20","3,65"
FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,"36,99",""
FP4,ONE PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,3,0,0
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,"1,1","1,1","22,97","3,65"
FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,"1,75","1,75","92,58",0
FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,1","3,1","20,66","3,65"
FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,1,"45,40","1,65"
FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"2,1","2,1","43,46","2,56"
FPR,STRATEJİ PORTFÖY FOREST HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"2,5","2,5","27,66","3,65"
FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,3","1,3","21,42",0
FRA,AZİMUT PORTFÖY MAB SERBEST FON,Serbest Şemsiye Fonu,"1,05",0,"16,74",""
FRC,FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,2,2,"1,97",0
FS5,ONE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,5","3,5","-0,34",0
FS6,ONE PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,3,3,"65,23",0
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"1,2","1,2","46,97",0
FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,4","3,4","20,67",0
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,"2,95","2,95","56,80",0
FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,3","1,3","46,84",0
FSP,FONMAP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"2,5","2,5",0,""
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"0,5","0,5","20,00",0
FSU,TERA PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,0,2
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,90","2,56"
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9","2,9","25,08","2,56"
FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"2,25","2,25","24,25","3,65"
FYD,QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,74","2,74","19,07","3,65"
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,Serbest Şemsiye Fonu,"0,53",0,"34,19",""
FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,5","1,5","46,68","3,65"
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,28","2,28","35,60","4,38"
FZP,FİBA PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,"1,2","1,2","40,50","4,38"
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"2,5","2,5","34,59","3,65"
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,05","2,05","33,01","3,65"
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","28,48","3,65"
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,Serbest Şemsiye Fonu,1,1,"22,48","3,65"
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,"3,65"
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"22,24","3,65"
GBC,AZİMUT PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,5","2,5","45,93","3,65"
GBG,INVEO PORTFÖY G-20 ÜLKELERİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,5","2,5","62,18","3,65"
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,2","3,2","28,24",0
GBJ,GARANTİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,2","3,2","5,33",0
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"2,4",0,"46,53","2,56"
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,Serbest Şemsiye Fonu,"1,5","1,5","45,62","3,65"
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,7","2,7",0,"3,65"
GBZ,AZİMUT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,75",0,"52,18","4,38"
GGK,INVEO PORTFÖY ALTIN FON,Kıymetli Madenler Şemsiye Fonu,"1,5","1,5","51,74","3,65"
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","27,46","3,65"
GID,GARANTİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2",0,0
GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"22,32",0
GIH,ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,7",0,"24,42","3,65"
GJB,INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"0,5","0,5","50,46","4,38"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"1,9","1,9","15,30","3,65"
GKG,GARANTİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","37,75",0
GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,1,1,"45,62",0
GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","53,07",0
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"38,29","3,65"
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,9",0,"21,11",0
GLG,AKTİF PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"3,05","3,05","39,77","3,65"
GLL,GOLDEN GLOBAL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,8","0,8",0,""
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,"2,4",0,"44,82","3,65"
GMA,AZİMUT PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"3,2",0,"43,90","3,65"
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,9","2,9",0,"4,38"
GMD,GLOBAL MD PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"1,75","1,75","1,33","4,38"
GMI,AK PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,"2,5",0,0,""
GMN,GLOBAL MD PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,1,0,0,0
GMR,INVEO PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,5","2,5","21,10","4,38"
GNH,GLOBAL MD PORTFÖY ALGORİTMİK MODEL HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,9",0,"16,98","3,65"
GNS,GARANTİ PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","22,49",0
GO1,ONE PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,"52,41","4,38"
GO2,ONE PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,2,"46,80","4,38"
GO3,ONE PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,25","2,25","40,57","4,38"
GO4,ONE PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,25","2,25","40,64","4,38"
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"1,25","1,25","53,33","1,65"
GO9,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,3,"60,91","3,65"
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","24,00","3,65"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,95","1,95","49,84",0
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"0,7","0,7",0,"1,65"
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Şemsiye Fonu,"2,9","2,9","25,69","3,65"
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"3,65"
GPC,GARANTİ PORTFÖY İKİNCİ SERBEST ( DÖVİZ ) FON,Serbest Şemsiye Fonu,"1,5","1,5",0,"3,65"
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,83","1,83","42,73","3,65"
GPG,INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,28","2,28","51,71","3,65"
GPI,GARANTİ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"3,65"
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,1,1,"20,99","3,65"
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"0,4","0,4",0,0
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"60,56",0
GPU,GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,5","2,5",0,"3,65"
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"0,95","0,95","47,24","3,65"
GRL,QNB PORTFÖY AGRESİF SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5","37,92",0
GRO,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,96","0,96","21,52",0
GRT,GARANTİ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","40,74",0
GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2",0,"47,04","3,65"
GTA,GARANTİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"1,95","1,95","51,58","3,65"
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,3,0,"36,50","3,65"
GTH,GARANTİ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","36,63",0
GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,2","3,2","37,62",0
GTY,GARANTİ PORTFÖY TREND SERBEST FON,Serbest Şemsiye Fonu,2,2,0,"3,65"
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,9","2,9",0,0
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,2,"46,31",0
GUF,İŞ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,5",0,0,"3,65"
GUH,GARANTİ PORTFÖY YABANCI TEKNOLOJİ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,3,3,0,"3,65"
GUK,GARANTİ PORTFÖY GÜMÜŞ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"2,5","2,5",0,0
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Şemsiye Fonu,"2,9","2,9",0,"2,56"
GUV,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,2,"25,46",0
