Dışa Aktarım Tarihi:,21.08.2026 08:51:16
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"135854410613,09","140584303437,18","3,48","29445291032,00","29479396465,00","0,12","3,36"
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"218109700,96","188276664,72","-13,68","17662945,00","15430145,00","-12,64","-1,19"
DDF,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"84395546,08","117194407,08","38,86","7307971,00","9121188,00","24,81","11,26"
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,Serbest Fon,"70637164,67","0,00",-100,"26230201,00","0,00",-100,"-100,00"
DEH,DESTEK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"0,00","0,00",0,"0,00","0,00",0,"0,00"
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Fon,"115944084,80","105156301,98","-9,3","36308488,00","32870372,00","-9,47","0,18"
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,Serbest Fon,"133899620,42","141206681,36","5,46","53040500,00","52501118,00","-1,02","6,54"
DFI,ATLAS PORTFÖY SERBEST FON,Serbest Fon,"27564807757,66","33181605270,57","20,38","5381258039,00","5954911989,00","10,66","8,78"
DGF,A1 CAPİTAL PORTFÖY DEĞİŞKEN FON,Değişken Fon,"14229144,76","357795913,53","2414,53","11297590,00","250086745,00","2113,63","13,59"
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"3311880621,24","3933969170,40","18,78","317531991,00","364646855,00","14,84","3,44"
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"215822100,06","216153003,52","0,15","31038855,00","29776658,00","-4,07","4,40"
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Fonu,"28450747,79","26155759,88","-8,07","5507255,00","4919718,00","-10,67","2,91"
DHT,DENİZ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"64785445,45","80678188,26","24,53","59080059,00","67422031,00","14,12","9,12"
DHV,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"556333881,06","675704004,92","21,46","221538454,00","229297012,00","3,5","17,35"
DID,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Fon,"26529755,91","27655647,57","4,24","18796074,00","18839745,00","0,23","4,00"
DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"56448682892,38","66202104783,51","17,28","36967232170,00","41913968195,00","13,38","3,44"
DKC,DENİZ PORTFÖY İKİNCİ SERBEST FON,Serbest Fon,"183415,80","10653502,07","5708,39","313506,00","17647472,00","5529,07","3,19"
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"219088155,93","217417657,08","-0,76","58232908,00","56676895,00","-2,67","1,96"
DKL,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Fon,"376445986,48","373418184,98","-0,8","7583995,00","7374530,00","-2,76","2,01"
DKR,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Serbest Fon,"461959390,20","304596203,31","-34,06","441142096,00","328285064,00","-25,58","-11,40"
DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"8433531251,66","15404490967,50","82,66","3519015198,00","6214120837,00","76,59","3,44"
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"61636259,42","62263466,42","1,02","8140268,00","8069352,00","-0,87","1,91"
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"70313747779,90","77915819878,79","10,81","11960118848,00","12824231858,00","7,22","3,35"
DLZ,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"62404,47","10935534,26","17423,64","123422,00","21673008,00","17460,08","-0,21"
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Fonu,"2687439214,55","3123973253,81","16,24","454198836,00","444847480,00","-2,06","18,69"
DNF,A1 CAPİTAL PORTFÖY DİNAMİK FON SEPETİ FONU,Fon Sepeti Fonu,"27753645,66","465638559,38","1577,76","22800561,00","355889352,00","1460,88","7,49"
DNH,DENİZ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"18817072,51","17905146,16","-4,85","16214849,00","15608332,00","-3,74","-1,15"
DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,Serbest Fon,"645621605,91","662425503,06","2,6","380709481,00","380033553,00","-0,18","2,79"
DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,Serbest Fon,"1411218941,29","1417625758,87","0,45","27846259,00","26782845,00","-3,82","4,44"
DNP,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Fon,"1581712919,19","1925953397,37","21,76","1139063184,00","1342316657,00","17,84","3,33"
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"615872287,02","2758701109,98","347,93","305256493,00","1266790889,00","314,99","7,94"
DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,Serbest Fon,"5438352426,34","5571714061,34","2,45","105091830,00","105562078,00","0,45","2,00"
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"73803852258,47","75196126021,30","1,89","1258076422,00","1230171915,00","-2,22","4,20"
DPB,DENİZ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Fon,"13829158466,89","11992033147,99","-13,28","582488373,00","493668532,00","-15,25","2,32"
DPI,DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"366588172,47","378351068,06","3,21","42662826,00","42678303,00","0,04","3,17"
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Fonu,"820524721,07","873977372,95","6,51","98109518,00","101355464,00","3,31","3,10"
DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Fonu,"304738147,78","300732931,96","-1,31","17243016,00","16618772,00","-3,62","2,39"
DRA,NEO PORTFÖY DORA SERBEST FON,Serbest Fon,"45761577,57","44565188,51","-2,61","36422364,00","34279908,00","-5,88","3,47"
DRT,DENİZ PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"41520199,00","40544102,89","-2,35","35280181,00","32711596,00","-7,28","5,32"
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,Serbest Fon,"4653154580,61","3548435739,57","-23,74","66933288,00","48969409,00","-26,84","4,23"
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Fonu,"146073102,47","143683216,83","-1,64","10212473,00","9682726,00","-5,19","3,75"
DTH,EMAA BLUE PORTFÖY DÖNÜŞÜM TEKNOLOJİLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"244648228,69","241968821,49","-1,1","177040258,00","174143149,00","-1,64","0,55"
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"170070408,64","165784273,30","-2,52","40300342,00","39282647,00","-2,53","0,01"
DTM,DENİZ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER DEĞİŞKEN FON,Değişken Fon,"61946921,06","62305863,09","0,58","43468787,00","42460409,00","-2,32","2,97"
DTZ,AK PORTFÖY ROBOTİK TEKNOLOJİLER DEĞİŞKEN FON,Değişken Fon,"463538331,91","513361222,94","10,75","92010989,00","95610403,00","3,91","6,58"
DUD,DENİZ PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Fon,"405460913,50","364699033,26","-10,05","7875521,00","6892095,00","-12,49","2,78"
DUH,HEDEF PORTFÖY UFUK HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"7462573,91","557236578,21","7367,08","6200504,00","350674220,00","5555,58","32,03"
DUV,DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"58533639,20","56691501,75","-3,15","46685723,00","43426225,00","-6,98","4,12"
DVS,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Fon,"268646607,14","305863508,41","13,85","176876755,00","194668797,00","10,06","3,45"
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"860002964,99","882472036,43","2,61","91005516,00","89432179,00","-1,73","4,42"
DXP,DENİZ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"49737150,14","48524754,90","-2,44","26575379,00","25149595,00","-5,37","3,09"
DYN,DENİZ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"60795585,86","58084604,14","-4,46","13547582,00","12991280,00","-4,11","-0,37"
DZE,DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"230818797,89","194503217,16","-15,73","232497700,00","192475600,00","-17,21","1,79"
DZM,DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest Fon,"13298053928,34","11983323156,23","-9,89","157684783,00","138648785,00","-12,07","2,49"
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Fon,"89399958,83","77808453,52","-12,97","348256419,00","302999700,00",-13,"0,03"
EBI,EMAA BLUE PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"761442470,51","793152206,00","4,16","13830089,00","13830072,00",0,"4,16"
EBS,EMAA BLUE PORTFÖY BİRİNCİ SERBEST (DÖVİZ-ABD DOLARI) FON,Serbest Fon,"4275441676,50","4447431390,06","4,02","88858637,00","90567785,00","1,92","2,06"
EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"68929278,63","62865571,16","-8,8","806528,80","752284,80","-6,73","-2,22"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"264705770,49","310884357,72","17,45","137712860,00","152899146,00","11,03","5,78"
EDN,EMAA BLUE PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Fon,"200979686,88","279720721,84","39,18","201084113,00","270676916,00","34,61","3,39"
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,Serbest Fon,"59984372,06","68746964,33","14,61","53159050,00","58832568,00","10,67","3,56"
EDT,DENİZ PORTFÖY TED EĞİTİME DESTEK SERBEST FON,Serbest Fon,"1041268844,93","975674174,23","-6,3","476157663,00","431945601,00","-9,29","3,29"
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,Değişken Fon,"355807985,42","365077098,51","2,61","101831728,00","101255514,00","-0,57","3,19"
EGR,EMAA BLUE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Fon,"218304364,36","267696245,11","22,63","220999946,00","258484517,00","16,96","4,84"
EIB,ASTRA PORTFÖY DEĞİŞKEN FON,Değişken Fon,"355273921,81","305445929,99","-14,03","530901704,00","446754511,00","-15,85","2,17"
EID,ASTRA PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),Hisse Senedi Fonu,"93312793,41","92322739,95","-1,06","48532676,00","46772914,00","-3,63","2,66"
EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"1173178431,75","983986779,28","-16,13","229970111,00","186472007,00","-18,91","3,44"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Fonu,"1851822165,69","1574260977,68","-14,99","14018669466,00","11523777645,00","-17,8","3,42"
ELZ,ASTRA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"415689754,00","292262472,24","-29,69","29893748,00","21047668,00","-29,59","-0,14"
EML,AK PORTFÖY EMLAK SEKTÖRÜ DEĞİŞKEN FON,Değişken Fon,"46812450,39","43188833,93","-7,74","37553378,00","34404667,00","-8,38","0,70"
ENJ,AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"62612210,22","59553795,46","-4,88","43427045,00","43223051,00","-0,47","-4,44"
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"10992954215,59","13169190206,70","19,8","10628136137,00","12330153690,00","16,01","3,26"
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"521105030,19","540120082,82","3,65","391049534,00","392118867,00","0,27","3,37"
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Fonu,"290564760,90","283691481,73","-2,37","253351481,00","251417189,00","-0,76","-1,61"
EPK,EMAA BLUE PORTFÖY KIYMETLİ MADENLER KATILIM FON SEPETİ FONU,Fon Sepeti Fonu,"234959821,26","251134737,57","6,88","194019559,00","180596515,00","-6,92","14,83"
EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,Serbest Fon,"1918147112,57","1920208525,42","0,11","1339983923,00","1297129386,00","-3,2","3,41"
EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"1088997970,13","1287110667,42","18,19","843173859,00","963641311,00","14,29","3,42"
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,Serbest Fon,"111276258,55","10968898,80","-90,14","27952137,00","2699376,00","-90,34","2,07"
ESP,AURA PORTFÖY EMTİA SERBEST FON,Serbest Fon,"25779621,17","24924255,48","-3,32","72412124,00","71033324,00","-1,9","-1,44"
ETN,EMAA BLUE PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Fon,"0,00","200171345,51",0,"0,00","200000398,00",0,"0,00"
EUN,GARANTİ PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"6151705283,49","6291271702,88","2,27","99458901,00","97589820,00","-1,88","4,23"
EUZ,GARANTİ PORTFÖY SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"138935842755,46","142722914037,69","2,73","2284862606,00","2253308012,00","-1,38","4,16"
EVM,DENİZ PORTFÖY ENERJİ VE MADENCİLİK SEKTÖRÜ DEĞİŞKEN FON,Değişken Fon,"38378750,66","39641094,53","3,29","36524249,00","34440628,00","-5,7","9,54"
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"44540691,18","43441893,49","-2,47","15458132,00","14239137,00","-7,89","5,88"
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"23795284,56","22907784,28","-3,73","20362710,00","17384508,00","-14,63","12,76"
FAL,ONE PORTFÖY ALTIN FONU,Altın Ve Diğer Kıymetli Madenler Fonu,"304731302,57","338178508,34","10,98","269243002,00","266203412,00","-1,13","12,24"
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Fonu,"192652212,80","180560251,35","-6,28","90339506,00","87033508,00","-3,66","-2,72"
FBI,FİBA PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Fon,"15088250865,31","14466601618,24","-4,12","290098283,00","272757735,00","-5,98","1,98"
FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Fon,"630033877,23","651474887,35","3,4","86238099,00","84010729,00","-2,58","6,14"
FBZ,FİBA PORTFÖY TEKNOLOJİ SERBEST FON,Serbest Fon,"258924448,56","295169777,83",14,"58402468,00","62476025,00","6,97","6,57"
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"333198826,02","304061777,84","-8,74","173407284,00","163691112,00","-5,6","-3,33"
FD1,ONE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"19930208,54","19302164,46","-3,15","10290592,00","9549713,00","-7,2","4,36"
FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"102866139,95","73007964,41","-29,03","37971298,00","27439341,00","-27,74","-1,78"
FDV,AZİMUT PORTFÖY DMR SERBEST FON,Serbest Fon,"1429521703,88","1482136541,31","3,68","245000000,00","245000000,00",0,"3,68"
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"1727294318,44","1612419084,72","-6,65","206639453,00","184473242,00","-10,73","4,57"
FFP,QNB PORTFÖY FON SEPETİ FONU,Fon Sepeti Fonu,"2337665855,75","1964289024,79","-15,97","315810878,00","253620126,00","-19,69","4,63"
FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"1620175803,08","1575107083,64","-2,78","2127327,80","1985384,80","-6,67","4,17"
FIB,FİBA PORTFÖY ALTIN FONU,Altın Fonu,"4677763265,70","5184627142,01","10,84","10295702608,58","10075462457,58","-2,14","13,26"
FID,FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,Değişken Fon,"915844057,84","871056122,44","-4,89","902885304,00","836108005,00","-7,4","2,71"
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"13105524088,56","13846051308,66","5,65","36446967250,00","37245136221,00","2,19","3,39"
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"188404852,35","190281926,46",1,"853053214,00","826157214,00","-3,15","4,28"
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Fon,"421246048,54","403520100,77","-4,21","61187581,00","55944670,00","-8,57","4,77"
FJZ,FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON,Serbest Fon,"1770807349,46","1489559994,59","-15,88","27266573,00","22470346,00","-17,59","2,07"
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"46459358913,99","49814627879,09","7,22","808189148,00","832081915,00","2,96","4,14"
FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"4064447721,20","4096143875,21","0,78","67572309,00","65022067,00","-3,77","4,73"
FLY,AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Fon,"92295630,17","119536360,73","29,51","59410556,00","70540564,00","18,73","9,08"
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,Serbest Fon,"10744710340,66","13104644682,27","21,96","3726807475,00","3803499085,00","2,06","19,50"
FMV,DENİZ PORTFÖY FMV IŞIK ÜNİVERSİTESİ EĞİTİME DESTEK SERBEST FON,Serbest Fon,"158317275,18","163291773,88","3,14","114921787,00","114898286,00","-0,02","3,16"
FNO,QNB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"11388560848,72","10858424009,82","-4,65","57712831371,04","52507398954,04","-9,02","4,80"
FNT,HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"513335937,93","645601360,19","25,77","236011019,00","277347816,00","17,51","7,02"
FP4,ONE PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"220200652,65","135575848,48","-38,43","197439184,00","168686438,00","-14,56","-27,94"
FPE,FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,Borçlanma Araçları Fonu,"319994238,59","338856702,92","5,89","4281839,00","4432993,00","3,53","2,28"
FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,Serbest Fon,"778727731,71","871439267,88","11,91","412118646,00","384364900,00","-6,73","19,99"
FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1305964157,69","1283106090,06","-1,75","38309977,00","36832508,00","-3,86","2,19"
FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"92678654,50","65898991,47","-28,9","36291756,00","25001443,00","-31,11","3,21"
FPK,FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Fonu,"287335708,17","274515337,26","-4,46","3025468228,00","2794749228,00","-7,63","3,43"
FPR,STRATEJİ PORTFÖY FOREST HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"166039140,53","167276931,22","0,75","15255522,00","15083829,00","-1,13","1,89"
FPZ,QNB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Fon,"136299274885,95","130590610254,71","-4,19","2009778748,00","1889227637,00",-6,"1,93"
FRA,AZİMUT PORTFÖY MAB SERBEST FON,Serbest Fon,"530928854,34","525814946,14","-0,96","16346222,00","16346222,00",0,"-0,96"
FRC,FONMAP PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"45497484,99","74367665,05","63,45","27459677,00","51173112,00","86,36","-12,29"
FS5,ONE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"20639621,13","10100741,76","-51,06","9505215,00","4871508,00","-48,75","-4,51"
FS6,ONE PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Fon,"62666660,73","130759322,65","108,66","34645030,00","69190446,00","99,71","4,48"
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Fon,"11503243714,41","11659047196,08","1,35","1718774527,00","1685491296,00","-1,94","3,36"
FSG,FİBA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"716319289,79","680708548,02","-4,97","192432240,00","180394612,00","-6,26","1,37"
FSH,FİBA PORTFÖY FON SEPETİ SERBEST FON,Serbest Fon,"389171684,63","377936555,56","-2,89","84191068,00","78730843,00","-6,49","3,85"
FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"5411530422,79","5525858671,32","2,11","915442011,00","903819733,00","-1,27","3,43"
FSP,FONMAP PORTFÖY SERBEST (DÖVİZ) FON,Serbest Fon,"384375,19","131343,45","-65,83","15189,00","6403,00","-57,84","-18,94"
FSR,FİBA PORTFÖY İKİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Fon,"4643855956,57","4810881717,77","3,6","100723253,00","100189203,00","-0,53","4,15"
FSU,TERA PORTFÖY FON SEPETİ FONU,Fon Sepeti Fonu,"643725746,81","0,00",-100,"517168012,00","0,00",-100,"-100,00"
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"267135708,64","274771011,24","2,86","180190045,00","179414062,00","-0,43","3,30"
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"326378626,44","330349782,54","1,22","62362012,00","60460648,00","-3,05","4,40"
FUB,QNB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"1045297637,75","916498772,74","-12,32","1417935661,00","1213182016,00","-14,44","2,48"
FYD,QNB PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"3451690161,87","3214840605,84","-6,86","307909494,19","275075549,19","-10,66","4,26"
FYI,AZİMUT PORTFÖY 4.0 SERBEST FON,Serbest Fon,"50779852,29","102182105,19","101,23","5093410,00","9879397,00","93,96","3,74"
FYO,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"1670068696,91","1911724608,87","14,47","1453711412,01","1610616856,01","10,79","3,32"
FZJ,FİBA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"1215416347,59","1167879217,22","-3,91","221290210,63","205696612,63","-7,05","3,37"
FZP,FİBA PORTFÖY SERBEST FON,Serbest Fon,"921120687,39","827696442,14","-10,14","142225653,00","124509133,00","-12,46","2,64"
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"327091470,78","316560563,70","-3,22","170331061,00","158465008,00","-6,97","4,03"
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1519773767,16","1417146253,92","-6,75","3364203963,00","3079156315,00","-8,47","1,88"
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"194937567,44","188550868,17","-3,28","117303307,00","114526549,00","-2,37","-0,93"
GAG,INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON,Serbest Fon,"865740891,88","827041324,20","-4,47","48782534,00","45619700,00","-6,48","2,15"
GAH,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Fon,"385935316,71","0,00",-100,"31406457,00","0,00",-100,"-100,00"
GAS,GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON,Serbest Fon,"3209870121,59","3313214094,09","3,22","10282257113,00","10406859389,00","1,21","1,98"
GBC,AZİMUT PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"229642420,84","258541241,00","12,58","765437102,48","835333200,48","9,13","3,16"
